Posição,País,Medalhas de Ouro,Medalhas de Prata,Medalhas de Bronze,Total de Medalhas
1º,China CHN,94.0,76.0,50.0,220.0
2º,Grã-Bretanha GBR,49.0,44.0,31.0,124.0
3º,Estados Unidos EUA,36.0,42.0,27.0,105.0
4º,Ucrânia UCR,22.0,28.0,32.0,82.0
5º,França FRA,19.0,28.0,28.0,75.0
6º,Brasil BRA,25.0,26.0,38.0,89.0
7º,Atletas Paralímpicos Neutros IPA,26.0,22.0,23.0,71.0
8º,Holanda HOL,27.0,17.0,12.0,56.0
9º,Austrália AUS,18.0,17.0,28.0,63.0
10º,Itália ITA,24.0,15.0,32.0,71.0
11º,Alemanha ALE,10.0,14.0,25.0,49.0
12º,Espanha ESP,7.0,11.0,22.0,40.0
13º,Tailândia TAI,6.0,11.0,13.0,30.0
14º,Japão JAP,14.0,10.0,17.0,41.0
15º,Irã IRA,8.0,10.0,7.0,25.0
16º,Coreia do Sul CDS,6.0,10.0,14.0,30.0
17º,Turquia TUR,6.0,10.0,12.0,28.0
18º,Canadá CAN,10.0,9.0,10.0,29.0
19º,Uzbequistão UZB,10.0,9.0,7.0,26.0
20º,Índia IND,7.0,9.0,13.0,29.0
21º,Suíça SUI,8.0,8.0,5.0,21.0
22º,Indonésia INS,1.0,8.0,5.0,14.0
23º,Colômbia COL,7.0,7.0,14.0,28.0
24º,Polônia POL,8.0,6.0,9.0,23.0
25º,Hungria HUN,5.0,6.0,4.0,15.0
26º,México MEX,3.0,6.0,8.0,17.0
27º,Marrocos MAR,3.0,6.0,6.0,15.0
28º,Bélgica BEL,7.0,4.0,3.0,14.0
29º,Hong Kong HKG,3.0,4.0,1.0,8.0
30º,Geórgia GEO,1.0,4.0,4.0,9.0
31º,Nova Zelândia NZL,1.0,4.0,4.0,9.0
32º,República Tcheca TCH,1.0,4.0,3.0,8.0
33º,Cuba CUB,6.0,3.0,1.0,10.0
34º,Tunísia TUN,5.0,3.0,3.0,11.0
35º,Grécia GRE,3.0,3.0,7.0,13.0
36º,Argentina ARG,2.0,3.0,8.0,13.0
37º,Dinamarca DIN,2.0,3.0,5.0,10.0
38º,Cazaquistão CAZ,2.0,3.0,4.0,9.0
39º,Nigéria NGR,2.0,3.0,2.0,7.0
40º,Noruega NOR,1.0,3.0,3.0,7.0
41º,Irlanda IRL,1.0,3.0,2.0,6.0
42º,Sérvia SER,1.0,3.0,2.0,6.0
43º,Mongólia MOG,1.0,3.0,0.0,4.0
44º,Taiwan TAW,0.0,3.0,2.0,5.0
45º,Áustria AUT,0.0,3.0,1.0,4.0
46º,Azerbaijão AZE,4.0,2.0,5.0,11.0
47º,Israel ISR,4.0,2.0,4.0,10.0
48º,Venezuela VEN,3.0,2.0,1.0,6.0
49º,Eslováquia ESV,3.0,2.0,0.0,5.0
50º,Egito EGI,2.0,2.0,3.0,7.0
51º,Malásia MAL,2.0,2.0,1.0,5.0
52º,Bósnia e Herzegovina BOS,0.0,2.0,0.0,2.0
53º,Letônia LET,3.0,1.0,0.0,4.0
54º,Portugal POR,2.0,1.0,4.0,7.0
55º,Cingapura CIN,2.0,1.0,0.0,3.0
56º,Etiópia ETI,2.0,1.0,0.0,3.0
57º,Iraque IRQ,1.0,1.0,3.0,5.0
58º,Croácia CRO,1.0,1.0,2.0,4.0
59º,Finlândia FIN,0.0,1.0,3.0,4.0
60º,Suécia SUE,0.0,1.0,2.0,3.0
61º,Chipre CHP,0.0,1.0,1.0,2.0
62º,Moldávia MOL,0.0,1.0,1.0,2.0
